Customer Id,Subscription Id,Invoice Number,Invoice Date,Start Date,Amount,Status,Paid On,Next Retry,Refunded Amount,Recurring,First Invoice,Tax Total,Customer Details
2uENY2ytPEiGCuKJkO,2uENY2ytPEiGCuKJkO,7062,06/05/2015 06:29:00,06/05/2015 06:29:00,0.009,Payment Due,,,0.0,TRUE,TRUE,0.0,"{""Customer Email"":"""",""Customer First Name"":"""",""Customer Last Name"":"""",""Customer Company"":""""}"
1mqYqruPCRsr6EEhR,,7060,05/26/2015 09:54:00,05/26/2015 09:54:00,0.012,Payment Due,,,0.0,FALSE,FALSE,0.0,"{""Customer Email"":"""",""Customer First Name"":"""",""Customer Last Name"":"""",""Customer Company"":""""}"
1mqYqp8P7vGR0b8Ww,1mqYqp8P7vGR0b8Ww,draft_inv_2uENY31gPDfwZyZGw,05/25/2015 06:30:00,04/25/2015 06:30:00,0.02,Pending,,,0.0,TRUE,FALSE,0.0,"{""Customer Email"":""john@user.com"",""Customer First Name"":""John"",""Customer Last Name"":""Wayne"",""Customer Company"":""""}"
1mqYqp8P7vDLW98TV,1mqYqp8P7vDLW98TV,draft_inv_2uENY31gPDfw4nxFh,05/25/2015 06:28:00,04/27/2015 11:04:00,0.029,Pending,,,0.0,TRUE,FALSE,0.0,"{""Customer Email"":""asdfa@asd.com"",""Customer First Name"":""asda"",""Customer Last Name"":""asd"",""Customer Company"":""""}"
test_sub2,test_sub2,draft_inv_2slhRVZTPDfr7xK2Z,05/25/2015 06:08:00,04/25/2015 06:08:00,0.01,Pending,,,0.0,TRUE,FALSE,0.0,"{""Customer Email"":"""",""Customer First Name"":""John"",""Customer Last Name"":""Doe"",""Customer Company"":""""}"
test_sub,test_sub,draft_inv_2uENY31gPDfr0ZeA5,05/25/2015 06:07:00,04/25/2015 06:07:00,0.01,Pending,,,0.0,TRUE,FALSE,0.0,"{""Customer Email"":"""",""Customer First Name"":""John"",""Customer Last Name"":""Doe"",""Customer Company"":""""}"
2uENY34LP7v8aYs8di,2uENY34LP7vA8698fV,draft_inv_HpvtAY1PDfqC5B1Z,05/25/2015 06:04:00,04/25/2015 06:04:00,0.01,Pending,,,0.0,TRUE,FALSE,0.0,"{""Customer Email"":""john@test.com"",""Customer First Name"":""John"",""Customer Last Name"":""Doe"",""Customer Company"":""""}"
cbdemo_XpbGA4wP6d1LnOC,cbdemo_XpbGA4wP6d1LnOC,draft_inv_1mqYqnaPDflh3K1,05/25/2015 05:46:00,04/25/2015 05:46:00,0.0,Pending,,,0.0,TRUE,FALSE,0.0,"{""Customer Email"":""jon@cbacme.com"",""Customer First Name"":""Jon"",""Customer Last Name"":""M"",""Customer Company"":""""}"
2uENY34fPA5FDA5NCA,2uENY30FPAZjzQaToC,7059,05/22/2015 09:35:00,04/22/2015 09:35:00,0.198,Payment Due,,,0.0,TRUE,TRUE,0.0,"{""Customer Email"":"""",""Customer First Name"":"""",""Customer Last Name"":"""",""Customer Company"":""""}"
1mqYqruPCRsr6EEhR,2uENY3ATPCRtZrIMIi,7058,05/19/2015 08:29:00,05/19/2015 08:29:00,0.011,Payment Due,,,0.0,FALSE,TRUE,0.0,"{""Customer Email"":"""",""Customer First Name"":"""",""Customer Last Name"":"""",""Customer Company"":""""}"
